reputation		trust			truth

0.5			0.5			1.0

0.75			0.825			1.0

0.8333333333333334	0.8833333333333333	1.0

0.875			0.9124999999999999	1.0

0.9			0.9299999999999999	1.0

0.9166666666666666	0.9416666666666667	1.0

0.9285714285714286	0.95			1.0

0.9375			0.95625			1.0

0.9444444444444444	0.961111111111111	1.0
